Product Name,Weight (quintal),Length (meters),Width (meters),Height (meters),Volume (cubic meters)
Product_2341,2.651,0.605,2.475,1.215,1.818
Product_2344,1.19,1.5,0.503,1.52,1.148
Product_2345,3.698,0.985,2.492,1.416,3.475
Product_2347,4.989,1.506,2.303,0.823,2.852
Product_2350,2.707,1.916,1.767,1.327,4.494
Product_2352,4.943,1.813,1.464,1.13,2.998
Product_2356,4.776,2.187,1.194,1.031,2.692
Product_2361,4.36,2.487,1.03,1.484,3.802
Product_2366,3.08,0.918,2.39,1.025,2.248
Product_2367,3.416,2.298,2.016,1.675,7.759
Product_2368,1.299,1.484,1.453,0.986,2.125
Product_2370,1.527,2.056,1.591,1.705,5.576
Product_2372,2.971,1.514,1.432,0.681,1.477
Product_2374,1.072,1.138,1.568,0.845,1.508
Product_2379,4.963,1.024,1.734,0.761,1.351
Product_2380,3.048,0.676,1.007,0.575,0.391
Product_2381,4.964,1.221,2.057,1.83,4.597
Product_2382,4.029,1.207,1.905,1.403,3.226
Product_2384,4.374,1.09,2.081,1.204,2.731
Product_2385,2.238,0.546,0.818,1.301,0.581
Product_2386,2.775,0.68,2.414,0.99,1.624
Product_2387,3.301,2.45,1.304,2.225,7.111
Product_2388,3.629,1.926,0.923,0.825,1.468
Product_2390,2.247,0.847,1.711,0.752,1.091
Product_2391,1.685,0.869,0.939,0.725,0.591
Product_2393,3.315,2.326,1.0,0.992,2.309
Product_2394,3.014,1.335,1.659,0.701,1.552
Product_2395,3.842,1.636,0.818,0.757,1.013
Product_2397,2.867,0.914,1.0,1.957,1.789
Product_2398,3.805,0.523,2.007,1.783,1.873
Product_2401,1.214,0.559,1.698,1.471,1.397
Product_2403,3.184,1.793,1.653,1.467,4.347
Product_2406,0.824,1.415,2.254,1.083,3.454
Product_2407,4.519,1.197,2.224,1.323,3.521
Product_2409,3.444,2.045,1.1,0.593,1.334
Product_2410,3.294,1.482,2.031,0.912,2.746
Product_2411,3.529,2.405,2.29,1.056,5.813
Product_2413,2.08,1.386,0.855,0.99,1.174
Product_2414,2.151,1.019,1.563,1.764,2.811
Product_2416,4.887,0.767,1.631,1.146,1.433
Product_2417,2.032,1.628,0.697,2.241,2.541
Product_2420,3.096,2.273,1.122,2.085,5.318
Product_2421,3.054,1.817,2.394,1.848,8.041
Product_2423,2.152,1.981,1.647,1.994,6.504
Product_2424,4.764,0.938,0.668,0.641,0.402
Product_2425,4.005,2.103,1.346,1.99,5.637
Product_2427,4.354,2.147,1.254,0.5,1.346
Product_2428,0.569,1.692,1.772,1.642,4.921
Product_2430,1.264,2.288,2.201,1.82,9.166
Product_2431,1.489,1.647,2.024,1.708,5.694
Product_2434,3.854,0.518,1.256,1.567,1.02
Product_2436,4.567,1.606,2.089,1.232,4.133
Product_2437,4.256,1.684,1.837,1.191,3.682
Product_2438,3.329,0.6,1.999,1.281,1.537
Product_2439,1.585,2.059,1.558,1.042,3.341
Product_2442,2.781,0.603,2.277,1.1,1.509
Product_2443,0.616,0.812,1.661,0.558,0.753
Product_2446,3.948,1.739,1.684,0.932,2.729
Product_2451,1.764,2.194,1.95,1.925,8.234
Product_2452,3.645,1.782,1.888,0.901,3.033
Product_2453,3.419,1.822,2.306,1.763,7.409
Product_2455,4.392,2.072,1.183,2.345,5.749
Product_2456,4.053,0.879,1.72,0.557,0.841
Product_2459,2.326,0.811,1.442,0.792,0.926
Product_2460,1.659,0.852,1.047,2.246,2.004
Product_2461,1.676,1.397,1.043,1.41,2.054
Product_2465,3.632,1.608,0.543,2.008,1.754
Product_2468,0.91,2.228,1.396,1.838,5.717
Product_2470,4.165,1.198,0.539,2.246,1.45
Product_2471,0.839,2.344,1.206,1.818,5.137
Product_2472,0.719,0.554,1.122,1.347,0.837
Product_2473,3.985,2.336,1.166,1.995,5.434
Product_2480,3.564,2.196,1.124,0.791,1.954
Product_2482,2.864,1.739,1.492,2.205,5.718
Product_2483,4.279,1.189,0.579,2.369,1.632
Product_2484,2.945,0.533,1.526,0.518,0.421
Product_2487,1.605,1.938,2.494,1.833,8.861
Product_2488,2.473,1.213,1.61,1.841,3.595
Product_2489,2.368,2.304,1.412,1.469,4.78
Product_2490,4.902,0.662,1.978,1.625,2.127
Product_2493,1.731,1.973,2.444,1.058,5.103
Product_2496,3.701,2.209,1.943,2.334,10.018
Product_2500,4.125,1.081,2.185,1.573,3.716
Product_2501,1.473,0.92,1.802,0.716,1.188
Product_2502,0.805,0.57,1.674,1.529,1.46
Product_2506,2.3,1.81,2.089,1.708,6.461
Product_2509,2.175,2.105,1.582,1.89,6.295
Product_2511,4.314,2.429,2.307,0.625,3.502
Product_2515,1.103,0.875,2.259,2.491,4.921
Product_2516,0.801,0.918,2.31,1.055,2.237
Product_2517,4.706,1.29,1.88,1.164,2.823
Product_2519,4.368,2.354,1.429,2.226,7.489
Product_2520,1.354,0.666,1.044,2.029,1.411
Product_2521,3.033,1.487,1.226,2.416,4.403
Product_2524,4.75,2.162,0.941,1.091,2.22
Product_2528,4.625,2.253,1.708,0.753,2.898
Product_2531,1.412,2.473,0.887,1.233,2.706
Product_2537,4.724,1.802,2.163,1.427,5.563
Product_2539,3.15,0.528,0.757,1.341,0.536
Product_2541,2.182,0.52,1.243,1.311,0.847
Product_2543,3.133,1.586,2.333,1.486,5.497
Product_2544,4.184,1.944,1.854,2.466,8.885
Product_2545,2.622,1.811,2.1,1.32,5.023
Product_2547,3.303,0.504,1.748,0.55,0.484
Product_2552,4.872,0.827,1.916,2.059,3.264
Product_2557,1.787,1.099,2.468,1.438,3.9
Product_2558,4.818,1.364,0.759,1.863,1.928
Product_2561,2.833,1.274,1.535,2.235,4.371
Product_2562,4.12,0.814,0.904,0.624,0.459
Product_2563,3.639,1.23,1.269,0.729,1.138
Product_2565,4.822,1.754,1.289,1.66,3.752
Product_2569,1.062,0.932,0.964,1.024,0.921
Product_2575,4.692,1.836,2.08,1.866,7.123
Product_2576,2.042,2.242,0.795,1.061,1.892
Product_2577,3.365,1.197,1.404,1.853,3.114
Product_2578,0.521,0.53,2.064,2.493,2.726
Product_2579,4.897,0.94,0.96,2.452,2.212
Product_2581,3.389,0.88,2.213,0.845,1.645
Product_2584,2.36,2.451,1.568,1.318,5.067
Product_2585,3.774,1.014,2.164,2.282,5.008
Product_2586,3.547,2.364,2.391,0.843,4.769
Product_2587,3.775,0.615,0.875,2.269,1.221
Product_2590,2.068,0.602,1.32,0.814,0.647
Product_2593,0.608,2.112,1.624,1.065,3.652
Product_2596,2.083,1.201,2.257,1.972,5.346
Product_2597,1.434,2.439,1.779,1.542,6.691
Product_2598,3.055,1.645,1.933,0.787,2.505
Product_2600,2.286,1.789,1.573,1.451,4.084
Product_2603,1.196,1.575,1.622,1.027,2.623
Product_2604,1.863,0.716,1.219,0.543,0.474
Product_2605,3.266,2.213,1.594,0.559,1.971
Product_2614,4.849,1.775,2.123,1.96,7.386
Product_2616,1.589,1.258,1.703,2.317,4.963
Product_2617,0.802,2.488,2.045,2.405,12.238
Product_2618,2.243,2.073,0.544,0.955,1.078
Product_2619,1.282,1.993,1.693,2.117,7.145
Product_2621,1.873,1.283,1.217,2.279,3.558
Product_2622,2.265,1.112,1.986,0.933,2.061
Product_2623,4.989,2.124,1.991,0.846,3.579
Product_2625,2.3,2.297,1.985,0.598,2.728
Product_2627,1.911,1.067,1.705,1.4,2.545
Product_2630,3.815,1.671,1.576,0.621,1.634
Product_2632,3.404,2.225,0.774,1.708,2.941
Product_2633,1.421,1.266,1.199,2.169,3.291
Product_2634,2.545,1.314,1.168,1.048,1.607
Product_2635,4.452,1.617,1.936,0.802,2.511
Product_2638,4.611,2.104,2.08,1.689,7.388
Product_2643,3.787,1.195,0.612,1.166,0.853
Product_2644,1.61,2.209,0.586,2.295,2.972
Product_2645,4.91,2.07,1.527,0.734,2.321
Product_2647,3.942,2.097,2.439,0.701,3.585
Product_2648,1.681,1.526,1.651,1.56,3.93
Product_2650,0.86,1.424,2.327,1.291,4.28
Product_2651,3.043,2.275,2.262,0.562,2.893
Product_2653,4.359,1.623,2.315,2.003,7.527
Product_2654,2.655,0.998,1.96,2.269,4.438
Product_2655,3.02,0.703,1.542,2.499,2.707
Product_2656,3.781,0.752,1.537,1.665,1.925
Product_2657,2.869,0.568,0.624,1.411,0.501
Product_2658,2.987,2.488,1.328,1.507,4.982
Product_2660,4.217,1.032,1.905,0.806,1.584
Product_2661,2.089,1.749,1.434,0.734,1.842
Product_2662,3.329,1.151,1.894,1.689,3.684
Product_2663,4.275,1.14,2.291,2.4,6.271
Product_2664,2.261,1.857,1.744,0.678,2.194
Product_2668,3.76,2.399,1.991,1.235,5.899
Product_2669,2.393,1.335,1.284,0.855,1.465
Product_2670,3.231,1.819,0.514,0.649,0.607
Product_2671,1.168,0.906,2.317,2.417,5.074
Product_2672,2.458,1.117,2.354,0.951,2.501
Product_2673,1.748,0.649,1.858,1.272,1.534
Product_2674,0.745,1.757,0.592,1.259,1.31
Product_2675,4.995,0.775,0.942,1.412,1.03
Product_2676,2.177,1.086,1.651,2.044,3.665
Product_2678,2.57,0.979,2.388,0.587,1.371
Product_2680,1.136,0.752,1.346,2.403,2.432
Product_2682,3.697,0.508,2.285,1.956,2.272
Product_2684,4.731,2.495,2.21,1.082,5.967
Product_2689,4.485,1.264,2.483,0.757,2.377
Product_2690,1.103,2.297,0.872,1.81,3.624
Product_2691,2.529,0.762,2.068,2.417,3.808
Product_2695,3.03,2.194,0.624,0.874,1.197
Product_2696,4.884,1.619,1.694,1.09,2.991
Product_2697,3.637,0.896,2.022,1.27,2.302
Product_2699,2.224,2.169,2.297,0.93,4.634
Product_2700,1.634,2.403,1.597,0.77,2.954
Product_2702,2.678,1.907,1.783,2.206,7.502
Product_2703,2.114,1.991,2.251,1.081,4.842
Product_2705,3.349,2.277,0.667,0.699,1.062
Product_2706,4.543,1.434,0.861,1.607,1.984
Product_2709,2.513,2.037,2.211,2.228,10.035
Product_2711,1.35,0.599,0.806,2.063,0.997
Product_2713,3.909,1.502,1.989,1.258,3.758
Product_2714,4.34,1.645,1.091,1.89,3.39
Product_2722,2.75,2.253,1.719,0.615,2.382
Product_2723,1.343,2.3,1.272,0.881,2.577
Product_2725,3.918,2.289,1.824,2.039,8.513
Product_2726,1.667,0.791,2.161,2.1,3.588
Product_2728,2.186,1.961,1.694,2.083,6.921
Product_2729,3.847,1.236,2.485,1.531,4.703
Product_2732,1.52,2.456,1.727,1.042,4.421
Product_2733,2.749,1.939,2.39,0.745,3.454
Product_2734,2.761,1.048,1.238,0.796,1.033
Product_2739,3.89,1.628,0.72,2.091,2.448
Product_2740,2.445,0.634,1.168,1.114,0.825
Product_2742,1.599,2.305,0.604,0.779,1.085
Product_2743,0.584,1.054,1.188,1.351,1.691
Product_2745,4.725,1.041,2.13,2.417,5.36
Product_2747,3.048,0.633,1.024,1.073,0.696
Product_2749,0.892,1.856,1.221,2.05,4.645
Product_2751,0.944,2.367,0.633,2.474,3.707
Product_2752,2.089,2.483,1.155,1.329,3.813
Product_2756,4.369,1.325,1.599,0.735,1.557
Product_2760,3.049,1.74,0.89,1.053,1.631
Product_2761,3.412,2.229,2.062,1.968,9.046
Product_2763,2.946,1.825,2.233,1.409,5.745
Product_2764,0.63,2.323,1.454,1.495,5.049
Product_2771,0.815,1.096,1.6,0.901,1.581
Product_2774,0.8,1.945,2.151,1.621,6.779
Product_2777,1.937,2.192,2.451,0.926,4.975
Product_2783,3.699,1.862,1.757,1.992,6.516
Product_2787,4.817,1.834,2.378,0.739,3.224
Product_2789,2.548,2.119,1.152,2.349,5.734
Product_2791,3.69,0.845,2.243,1.36,2.579
Product_2792,4.073,0.525,1.85,1.771,1.719
Product_2804,0.838,1.66,0.548,0.504,0.459
Product_2805,1.498,0.709,0.627,1.784,0.794
Product_2807,4.311,0.903,2.181,2.295,4.521
Product_2809,3.778,0.688,0.904,2.141,1.332
Product_2813,3.92,0.785,1.59,0.874,1.091
Product_2817,0.505,1.887,2.118,2.453,9.801
Product_2819,4.274,1.499,1.113,0.981,1.636
Product_2820,1.853,1.837,2.136,1.834,7.191
Product_2821,2.952,0.946,0.596,0.639,0.36
Product_2822,1.731,1.643,1.444,2.225,5.279
Product_2823,2.787,0.7,1.662,1.619,1.884
Product_2826,2.665,1.194,2.058,1.32,3.244
Product_2829,1.441,2.286,2.262,1.153,5.959
Product_2830,3.882,1.105,1.375,1.949,2.961
Product_2833,3.837,1.549,1.205,1.733,3.236
Product_2834,3.313,2.016,0.88,2.057,3.649
Product_2837,4.686,1.477,0.561,1.752,1.452
Product_2840,2.583,0.521,2.135,1.399,1.555
Product_2843,2.578,1.761,0.974,1.413,2.424
Product_2844,1.595,1.802,0.736,1.963,2.602
Product_2845,4.383,1.264,1.372,0.727,1.26
Product_2848,1.082,0.805,1.092,0.887,0.779
Product_2849,4.706,1.277,0.881,0.765,0.861
Product_2851,4.765,1.592,1.619,0.68,1.753
Product_2854,1.924,1.427,1.807,2.146,5.535
Product_2855,4.209,1.632,2.466,2.259,9.09
Product_2856,4.696,1.172,1.806,2.492,5.275
Product_2857,2.097,2.324,0.926,0.646,1.39
Product_2859,3.242,0.663,1.694,0.776,0.872
Product_2860,1.88,2.049,0.614,1.676,2.11
Product_2863,3.221,1.7,1.084,1.213,2.236
Product_2864,0.759,1.468,2.384,1.582,5.537
Product_2867,2.13,1.41,2.463,0.739,2.565
Product_2868,2.644,1.661,2.484,1.19,4.912
Product_2869,3.169,1.698,2.172,1.68,6.197
Product_2874,1.495,1.845,1.525,0.672,1.891
Product_2875,4.874,1.277,1.418,0.679,1.229
Product_2876,1.994,0.71,2.184,0.821,1.274
Product_2877,1.702,2.289,1.339,2.252,6.904
Product_2878,4.78,2.272,1.735,1.079,4.257
Product_2881,4.96,1.052,1.063,0.992,1.109
Product_2882,4.779,0.683,1.022,0.769,0.538
Product_2883,2.957,0.99,1.287,1.426,1.818
Product_2884,1.812,1.292,2.378,1.16,3.566
Product_2885,0.744,0.754,1.301,1.08,1.059
Product_2887,2.453,0.944,1.283,2.127,2.577
Product_2890,2.647,1.052,2.17,2.425,5.536
Product_2891,1.263,2.055,2.207,1.906,8.646
Product_2892,4.616,1.439,0.985,1.656,2.345
Product_2894,3.53,1.54,1.115,2.272,3.903
Product_2895,4.433,2.46,1.36,1.891,6.326
Product_2898,0.711,1.047,1.077,0.825,0.93
Product_2900,3.863,1.542,2.173,0.951,3.189
Product_2902,4.964,2.343,0.595,2.496,3.478
Product_2904,3.251,1.806,1.042,1.113,2.095
Product_2905,0.984,2.146,2.086,1.343,6.01
Product_2907,4.332,1.16,1.07,1.565,1.942
Product_2910,4.475,1.851,1.905,2.215,7.808
Product_2911,1.777,0.838,1.541,1.2,1.55
Product_2912,3.723,2.426,2.465,1.777,10.626
Product_2913,0.605,1.407,1.36,1.915,3.662
Product_2915,4.31,0.867,1.787,2.155,3.338
Product_2918,1.854,2.02,1.353,2.384,6.516
Product_2920,3.149,1.811,1.528,2.176,6.022
Product_2922,0.815,0.973,1.041,2.192,2.221
Product_2923,4.777,0.883,2.461,0.51,1.108
Product_2931,1.259,1.431,1.803,1.009,2.603
Product_2933,2.787,0.981,0.64,0.911,0.572
Product_2935,0.731,1.685,1.688,0.713,2.027
Product_2937,0.561,2.304,1.184,1.481,4.042
Product_2948,4.351,1.531,2.029,2.207,6.856
Product_2949,4.088,1.935,2.358,0.919,4.195
Product_2955,1.793,1.278,1.467,1.36,2.55
Product_2956,1.225,1.091,1.324,1.222,1.764
Product_2957,2.064,2.097,1.225,0.575,1.477
Product_2958,1.592,2.099,1.226,0.821,2.114
Product_2959,1.547,1.355,2.163,0.623,1.826
Product_2962,1.294,2.252,2.452,0.971,5.362
Product_2963,1.004,1.746,1.356,1.932,4.574
Product_2965,4.879,1.125,1.476,1.936,3.217
Product_2966,1.254,0.976,1.72,1.87,3.139
Product_2967,2.182,2.015,2.271,1.626,7.441
Product_2969,0.918,1.739,2.178,1.475,5.585
Product_2970,3.927,1.896,0.859,1.101,1.794
Product_2973,2.659,0.605,1.304,2.058,1.622
Product_2976,4.526,1.056,0.928,1.276,1.249
Product_2979,3.339,1.006,1.873,0.793,1.494
Product_2980,3.783,2.343,0.874,1.715,3.513
Product_2982,1.385,1.712,2.096,1.552,5.569
Product_2983,4.18,0.894,1.384,1.02,1.262
Product_2985,2.279,0.571,1.584,1.72,1.555
Product_2986,1.571,1.802,1.172,0.867,1.833
Product_2988,4.818,1.413,1.59,2.269,5.098
Product_2989,3.469,0.505,0.542,1.074,0.294
Product_2991,4.563,2.366,1.491,1.491,5.262
Product_2995,3.028,0.64,1.047,1.421,0.953
Product_2998,3.918,1.617,2.458,0.904,3.591
Product_3001,4.442,1.27,0.758,0.694,0.668
Product_3003,3.861,1.746,1.962,2.073,7.101
Product_3004,4.642,1.406,1.157,2.24,3.645
Product_3006,3.664,0.69,0.724,2.15,1.075
Product_3007,0.517,0.822,2.204,2.303,4.174
Product_3008,1.754,1.26,1.353,2.288,3.902
Product_3009,2.591,1.416,2.151,1.244,3.786
Product_3010,3.724,1.881,2.251,1.08,4.575
Product_3011,2.169,1.66,1.186,0.588,1.157
Product_3013,1.527,1.871,0.961,0.902,1.622
Product_3016,3.639,2.364,1.353,1.064,3.403
Product_3022,3.895,0.516,0.88,1.431,0.65
Product_3023,2.731,0.703,1.537,2.219,2.398
Product_3025,1.478,0.51,1.42,2.244,1.625
Product_3026,2.855,0.756,1.611,1.184,1.442
Product_3027,3.803,2.459,0.72,0.678,1.201
Product_3028,2.713,0.62,1.777,0.525,0.579
Product_3029,4.028,2.116,1.518,1.433,4.603
Product_3031,0.673,1.008,1.122,0.988,1.117
Product_3035,1.533,1.661,1.964,1.935,6.316
Product_3038,2.103,0.572,0.799,0.62,0.283
Product_3039,1.912,1.405,2.458,2.104,7.265
Product_3040,1.776,1.829,1.704,1.601,4.99
Product_3042,2.904,1.583,0.966,1.105,1.69
Product_3051,4.699,0.801,2.431,1.859,3.619
Product_3052,0.795,2.242,1.1,2.299,5.667
Product_3054,2.986,2.428,1.13,1.068,2.93
Product_3056,3.741,1.262,1.736,1.398,3.064
Product_3059,3.254,2.164,0.68,1.837,2.703
Product_3060,3.098,0.795,1.493,0.705,0.837
Product_3063,1.689,1.117,1.3,0.895,1.299
Product_3065,0.818,1.454,1.974,0.856,2.457
Product_3066,0.704,1.156,0.99,0.616,0.704
Product_3075,1.33,0.756,2.343,0.982,1.739
Product_3076,2.206,1.44,0.824,2.397,2.843
Product_3081,3.005,0.52,1.233,0.981,0.629
Product_3083,3.109,0.531,2.322,1.161,1.431
Product_3086,4.116,2.04,1.319,0.951,2.559
Product_3088,4.412,2.322,0.899,2.081,4.341
Product_3089,2.987,2.151,1.544,2.082,6.915
Product_3090,2.985,0.575,1.057,1.78,1.082
Product_3092,2.523,1.842,1.143,0.571,1.203
Product_3093,2.69,1.905,1.707,2.475,8.053
Product_3095,1.554,2.234,2.095,2.358,11.035
Product_3097,3.203,0.694,0.676,1.432,0.671
Product_3098,1.803,2.042,0.687,1.935,2.717
Product_3100,2.415,1.038,0.796,2.398,1.982
Product_3104,4.193,2.439,1.961,1.445,6.909
Product_3107,4.985,2.001,1.103,1.256,2.774
Product_3110,1.22,1.034,0.759,1.699,1.333
Product_3112,3.243,1.823,1.732,1.252,3.953
Product_3113,3.658,0.777,2.317,0.611,1.099
Product_3115,4.753,1.072,0.7,2.009,1.508
Product_3120,1.629,1.076,1.927,0.909,1.886
Product_3125,1.914,1.216,2.255,1.878,5.147
Product_3130,4.083,1.624,0.743,1.749,2.11
Product_3131,4.711,1.542,2.183,2.377,8.003
Product_3133,4.187,2.239,0.96,1.046,2.248
Product_3136,3.898,0.54,1.199,1.476,0.956
Product_3137,3.733,1.405,0.966,1.008,1.368
Product_3138,4.813,0.574,1.764,0.946,0.958
Product_3139,1.958,2.405,2.296,0.505,2.792
Product_3142,4.097,1.525,1.92,0.81,2.371
Product_3146,3.622,0.697,0.745,2.491,1.293
Product_3147,4.449,2.309,2.047,1.14,5.39
Product_3149,4.348,0.894,2.326,1.408,2.928
Product_3150,1.997,1.46,2.179,1.358,4.32
Product_3151,0.788,2.122,1.713,1.144,4.159
Product_3152,1.346,0.769,1.063,1.03,0.843
Product_3153,0.741,2.105,1.121,0.963,2.272
Product_3154,3.489,2.374,2.066,1.712,8.396
Product_3157,2.115,2.4,1.309,2.292,7.199
Product_3161,2.181,1.845,1.108,0.865,1.768
Product_3164,4.044,1.198,2.099,1.241,3.119
Product_3167,3.777,1.941,1.726,1.616,5.412
Product_3168,2.013,1.092,1.926,2.313,4.864
Product_3171,0.518,1.918,0.745,1.486,2.123
Product_3177,4.476,0.838,0.519,1.013,0.441
Product_3179,2.399,2.165,2.289,1.109,5.498
Product_3182,2.725,1.841,1.191,1.536,3.369
Product_3183,4.698,1.512,2.238,1.743,5.895
Product_3184,4.61,1.745,1.735,0.582,1.762
Product_3186,1.477,1.677,1.018,1.758,3.002
Product_3187,4.146,2.169,0.792,1.447,2.485
Product_3190,4.76,1.214,1.809,1.773,3.895
Product_3191,2.547,2.174,1.898,0.953,3.931
Product_3192,2.004,1.366,0.7,1.052,1.006
Product_3194,1.494,1.08,0.907,1.485,1.455
Product_3196,4.469,1.283,2.362,1.02,3.091
Product_3197,4.401,0.91,0.893,2.183,1.773
Product_3198,4.183,2.328,0.832,2.237,4.332
Product_3199,3.263,1.039,0.583,0.783,0.475
Product_3202,2.108,1.849,0.91,0.722,1.215
Product_3203,3.058,1.271,1.726,1.312,2.877
Product_3205,4.193,0.866,1.303,1.866,2.106
Product_3206,1.231,2.221,2.154,2.331,11.15
Product_3207,1.068,0.914,0.521,0.866,0.412
Product_3208,1.744,1.612,0.989,2.316,3.692
Product_3209,1.466,0.759,0.774,0.845,0.497
Product_3210,4.05,0.565,2.368,1.726,2.308
Product_3213,2.756,1.356,1.583,1.237,2.655
Product_3216,4.29,2.128,1.671,1.107,3.937
Product_3219,1.552,0.52,0.547,0.628,0.179
Product_3220,2.747,0.778,1.732,1.129,1.522
Product_3221,4.832,1.771,2.313,1.72,7.045
Product_3223,3.78,2.0,1.625,1.893,6.152
Product_3224,4.13,1.272,1.791,1.078,2.457
Product_3227,0.562,1.96,1.093,0.668,1.432
Product_3228,2.385,1.398,2.484,0.875,3.039
Product_3229,4.962,2.212,0.64,2.24,3.17
Product_3234,4.14,0.972,1.026,2.061,2.055
Product_3235,2.165,1.807,0.537,1.94,1.881
Product_3237,3.132,1.493,1.178,0.872,1.532
Product_3238,2.58,1.126,2.406,1.218,3.299
Product_3241,3.228,0.719,0.936,1.612,1.085
Product_3242,3.724,2.101,1.524,2.405,7.699
Product_3243,4.285,2.0,1.672,1.928,6.448
Product_3245,3.956,0.967,0.548,0.908,0.481
Product_3247,2.329,1.553,1.326,0.885,1.822
Product_3248,1.733,1.844,2.05,1.973,7.461
Product_3252,3.269,2.242,1.712,1.006,3.861
Product_3253,0.562,2.476,0.646,2.121,3.392
Product_3255,2.95,0.559,2.486,1.014,1.409
Product_3256,0.555,0.981,2.295,1.558,3.507
Product_3259,1.646,1.628,2.479,2.455,9.907
Product_3260,0.665,1.685,2.35,0.852,3.373
Product_3262,4.563,1.048,1.389,0.67,0.975
Product_3263,3.785,0.853,0.602,0.618,0.317
Product_3264,3.439,2.289,2.135,0.792,3.873
Product_3265,1.064,1.166,2.083,0.733,1.781
Product_3266,1.451,2.105,1.193,1.588,3.989
Product_3267,3.126,1.658,1.349,1.756,3.928
Product_3268,4.905,0.683,0.925,2.309,1.459
Product_3271,4.77,2.464,0.635,0.712,1.114
Product_3272,4.996,1.729,0.705,1.865,2.275
Product_3274,2.596,0.732,2.199,2.169,3.491
Product_3275,3.38,0.901,2.41,2.258,4.904
Product_3279,2.731,2.408,1.871,2.417,10.888
Product_3281,4.202,0.988,1.264,1.377,1.719
Product_3282,4.418,0.904,0.852,1.772,1.365
Product_3284,2.41,1.046,1.151,2.244,2.702
Product_3285,1.545,2.044,1.05,2.326,4.994
Product_3286,4.276,1.15,1.381,1.471,2.337
Product_3287,3.513,1.349,2.154,0.858,2.493
Product_3290,4.892,0.818,0.838,0.927,0.636
Product_3291,0.605,1.643,1.174,2.46,4.744
Product_3292,1.796,2.208,1.309,1.158,3.347
Product_3293,3.412,1.872,2.387,2.2,9.826
Product_3296,3.64,0.649,1.797,1.861,2.171
Product_3297,4.727,1.444,1.093,1.559,2.461
Product_3300,1.893,0.512,0.572,1.004,0.294
Product_3303,2.184,0.713,2.231,0.726,1.154
Product_3305,4.217,2.42,0.681,0.76,1.253
Product_3309,4.753,1.463,0.806,1.233,1.455
Product_3310,4.983,0.617,1.719,0.843,0.895
Product_3315,1.092,1.379,2.365,2.037,6.641
Product_3316,4.297,2.271,1.023,1.369,3.18
Product_3317,3.657,0.808,1.254,2.359,2.389
Product_3321,1.124,1.497,0.716,1.899,2.036
Product_3323,1.014,1.697,0.716,2.389,2.904
Product_3324,0.554,1.507,1.525,1.542,3.544
Product_3325,4.452,1.474,0.925,1.12,1.526
Product_3328,3.212,1.062,1.98,1.42,2.987
Product_3330,1.535,1.082,1.542,1.913,3.192
Product_3331,2.637,0.542,1.458,1.021,0.806
Product_3333,0.701,1.071,0.963,1.488,1.534
Product_3337,1.048,0.618,0.693,1.888,0.808
Product_3338,2.352,1.901,1.65,1.507,4.729
Product_3339,3.156,1.932,1.87,0.699,2.526
Product_3344,3.224,1.766,2.216,2.097,8.208
Product_3346,3.467,1.339,1.16,1.182,1.837
Product_3347,3.654,0.782,2.098,1.476,2.42
Product_3350,3.949,1.978,0.696,1.747,2.405
Product_3351,0.795,0.689,1.414,1.695,1.652
Product_3356,3.506,0.695,1.28,0.694,0.617
Product_3357,2.367,2.236,1.121,1.115,2.794
Product_3361,3.757,0.892,1.762,2.147,3.375
Product_3362,3.434,0.824,0.903,1.485,1.105
Product_3363,0.687,0.942,0.905,1.178,1.004
Product_3364,3.449,2.174,1.544,2.183,7.327
Product_3366,0.843,1.379,1.779,1.688,4.14
Product_3370,3.126,2.2,1.024,0.55,1.239
Product_3372,1.324,0.841,2.332,1.107,2.171
Product_3374,2.801,1.561,1.988,1.607,4.987
Product_3376,1.022,1.876,1.236,1.954,4.533
Product_3378,2.404,1.816,2.265,2.341,9.628
Product_3380,4.913,2.194,2.18,1.201,5.744
Product_3382,1.557,1.668,0.666,0.868,0.964
Product_3385,4.31,0.807,1.058,0.959,0.818
Product_3386,1.125,2.246,0.738,0.988,1.639
Product_3387,1.295,1.253,1.67,1.389,2.907
Product_3388,3.949,1.191,1.414,1.183,1.991
Product_3389,3.354,2.082,1.885,1.888,7.41
Product_3392,3.475,1.381,1.144,1.21,1.913
Product_3393,4.987,0.858,1.044,0.854,0.765
Product_3394,3.628,0.938,1.67,1.596,2.498
Product_3396,0.853,0.51,1.011,1.586,0.818
Product_3397,1.848,1.539,0.675,1.401,1.455
Product_3398,3.603,2.219,2.495,1.626,8.999
Product_3400,3.215,1.763,2.169,1.803,6.894
Product_3405,2.443,1.128,1.673,0.712,1.344
Product_3408,4.917,1.932,2.463,1.945,9.255
Product_3409,3.9,1.613,2.206,0.973,3.463
Product_3410,2.798,2.169,2.374,1.312,6.758
Product_3416,3.447,1.575,1.389,0.503,1.101
Product_3418,4.976,1.561,0.71,1.467,1.626
Product_3421,2.662,1.459,0.881,2.068,2.657
Product_3423,2.084,1.63,2.375,1.006,3.896
Product_3424,3.711,0.521,2.347,0.523,0.64
Product_3425,4.064,1.646,0.958,2.41,3.799
Product_3428,0.626,1.687,1.107,1.739,3.25
Product_3430,4.183,1.007,1.518,0.575,0.879
Product_3431,1.999,0.674,1.07,1.828,1.318
Product_3432,0.7,2.037,1.916,2.395,9.349
